product_name,price_before,price_after,category,subcategory,description,image_url
Bath Pillow,8,6,All Products,Accessories,"Yummy Bath Pillow gives cozy vibes during bath or jacuzzi time. Its soft, supportive design cushions the head, neck, and shoulders, making every soak more relaxing and comfortable.
وسادة الحمام تعطي شعوراً مريحاً أثناء الاستحمام أو في حوض الاستحمام الساخن. تصميمها مريح يدعم الرأس والرقبة والكتفين.",https://i.ibb.co/Lzz1T2mB/001-Bath-Pillow.png
Bath Sponge For Exfoliation,3.5,2,All Products,Accessories,"Yummy Bath Sponge is designed for gentle exfoliation and easy scrubbing without harming the skin. Soft, elastic, and high-density, it cleanses effectively while leaving skin smooth and refreshed.
اسفنجة الاستحمام مصممة لتقشير لطيف وفرك سهل دون إيذاء البشرة. ناعمة مرنة وعالية الكثافة.",https://i.ibb.co/YT391fGw/002-Bath-Sponge-For-Exfoliation.png
Blue SoftGrip Scalp Massager,,6,All Products,Accessories,"Yummy SoftGrip Scalp Massager is gentle silicone spikes designed for a soothing hair-care routine.
فرشاة فروة الرأس من السيليكون لروتين العناية بالشعر المهدئ.",
BP SoftGrip Scalp Massager,,6,All Products,Accessories,"Yummy SoftGrip Scalp Massager is gentle silicone spikes designed for a soothing hair-care routine.
فرشاة فروة الرأس من السيليكون لروتين العناية بالشعر المهدئ.",
Dry Wooden Brush,,8,All Products,Accessories,"Yummy Dry Wood Brush is designed for effective dry brushing to exfoliate dead skin cells, boost circulation, and stimulate lymphatic drainage, leaving the skin smoother and more radiant.
فرشاة الخشب الجاف مصممة للفرك الجاف للتخلص من الخلايا الميتة وتحفيز الدورة الدموية.",https://i.ibb.co/9mYKmBCM/005-Dry-Wooden-Brush.png
Face Mask Brush Applicator,2,1,All Products,Accessories,"Yummy Face Mask Brush is a soft, flat brush designed for smooth and even application of face masks, creams, and serums. It ensures hygienic use, precise coverage, and keeps your hands clean during skincare routines.
فرشاة توزيع ماسك الوجه مرنة وناعمة لسهولة وسرعة التوزيع.",https://i.ibb.co/mrNRSNTs/006-Face-Mask-Brush-Applicator.png
Face Mask Spatula,,2.5,All Products,Accessories,"Yummy Face Mask silicon Spatula is a reusable tool designed for smooth and hygienic application of face masks, creams, and skincare products. Its flexible design ensures even coverage while keeping your hands clean.
ملعقة توزيع ماسك الوجه من السيليكون سهلة الاستعمال والترطيب.",https://i.ibb.co/prfhJty5/007-Face-Mask-Spatula.png
Facial Mask Bowl,,2.5,All Products,Accessories,"Yummy Facial Mask Bowl is easy to use, solid, and made of high-quality material. Perfect for mixing masks, creams, and skincare treatments, it ensures a clean and convenient beauty routine.
وعاء خلط مستحضرات العناية بالوجه والماسكات الصلبة والخلطات.",https://i.ibb.co/WvQMRpfB/008-Facial-Mask-Bowl.png
Gua Sha Scalp Massager,,6,All Products,Accessories,"Yummy Rose Quartz Scalp Massager is a natural stone tool designed to stimulate the scalp, boost circulation, and promote relaxation. Regular use helps reduce tension, support healthy hair growth, and leave the scalp refreshed.
أداة غوا شا لتدليك فروة الرأس من الحجر الطبيعي لتنشيط الدورة الدموية والراحة.",https://i.ibb.co/MxJ3mZMv/009-Gua-Sha-Scalp-Massager.png
Gua Sha Set,,6,All Products,Accessories,"Yummy Gua Sha & Acupressure Stick is a natural massage tool set designed for face and body care. The gua sha helps improve circulation, relieve tension, and sculpt the skin, while the stick provides targeted acupressure to relax muscles and stimulate energy points.
مجموعة غوا شا وأداة الضغط العلاجية الطبيعية لمساج وشد بشرة الوجه والجسم.",https://i.ibb.co/8LhSfpcT/010-Gua-Sha-Set.png
